State,Year,Population,Density
New South Wales,1981,5234889,6.537
Victoria,1981,3946917,17.3534
Queensland,1981,2345208,1.3578
South Australia,1981,1318769,1.3399
Western Australia,1981,1300056,0.5145
Tasmania,1981,427224,6.2459
Northern Territory,1981,122616,0.091
Australian Capital Territory,1981,227581,96.5144
New South Wales,1982,5303580,6.6228
Victoria,1982,3992870,17.5554
Queensland,1982,2424586,1.4038
South Australia,1982,1331108,1.3524
Western Australia,1982,1338899,0.5298
Tasmania,1982,429845,6.2842
Northern Territory,1982,130314,0.0967
Australian Capital Territory,1982,233045,98.8316
New South Wales,1983,5352959,6.6844
Victoria,1983,4035702,17.7437
Queensland,1983,2482282,1.4372
South Australia,1983,1345775,1.3673
Western Australia,1983,1369050,0.5418
Tasmania,1983,432805,6.3275
Northern Territory,1983,135916,0.1008
Australian Capital Territory,1983,238983,101.3499
New South Wales,1984,5402729,6.7466
Victoria,1984,4076492,17.9231
Queensland,1984,2523859,1.4612
South Australia,1984,1360048,1.3818
Western Australia,1984,1391237,0.5505
Tasmania,1984,437760,6.3999
Northern Territory,1984,142154,0.1055
Australian Capital Territory,1984,245112,103.9491
New South Wales,1985,5464512,6.8237
Victoria,1985,4120068,18.1146
Queensland,1985,2571218,1.4887
South Australia,1985,1371197,1.3932
Western Australia,1985,1418564,0.5614
Tasmania,1985,442828,6.474
Northern Territory,1985,148536,0.1102
Australian Capital Territory,1985,251389,106.6111
New South Wales,1986,5531526,6.9074
Victoria,1986,4160856,18.294
Queensland,1986,2624595,1.5196
South Australia,1986,1382550,1.4047
Western Australia,1986,1459019,0.5774
Tasmania,1986,446473,6.5273
Northern Territory,1986,154421,0.1146
Australian Capital Territory,1986,258910,109.8007
New South Wales,1987,5616736,7.0138
Victoria,1987,4210111,18.5105
Queensland,1987,2675107,1.5488
South Australia,1987,1392764,1.4151
Western Australia,1987,1496248,0.5921
Tasmania,1987,449226,6.5675
Northern Territory,1987,158205,0.1174
Australian Capital Territory,1987,265477,112.5857
New South Wales,1988,5707309,7.1269
Victoria,1988,4262569,18.7412
Queensland,1988,2739907,1.5863
South Australia,1988,1404909,1.4274
Western Australia,1988,1535167,0.6075
Tasmania,1988,451148,6.5956
Northern Territory,1988,159026,0.118
Australian Capital Territory,1988,272129,115.4067
New South Wales,1989,5776283,7.213
Victoria,1989,4320164,18.9944
Queensland,1989,2827637,1.6371
South Australia,1989,1419029,1.4417
Western Australia,1989,1578434,0.6246
Tasmania,1989,455258,6.6557
Northern Territory,1989,161179,0.1196
Australian Capital Territory,1989,276432,117.2316
New South Wales,1990,5834021,7.2851
Victoria,1990,4378592,19.2513
Queensland,1990,2899283,1.6786
South Australia,1990,1432056,1.455
Western Australia,1990,1613049,0.6383
Tasmania,1990,462188,6.757
Northern Territory,1990,163728,0.1215
Australian Capital Territory,1990,282211,119.6824
New South Wales,1991,5898731,7.3659
Victoria,1991,4420373,19.435
Queensland,1991,2960951,1.7143
South Australia,1991,1446299,1.4695
Western Australia,1991,1636067,0.6474
Tasmania,1991,466802,6.8245
Northern Territory,1991,165493,0.1228
