Year,Sex,Population
1981,Male,7448267
1981,Female,7474993
1982,Male,7580914
1982,Female,7603333
1983,Male,7686346
1983,Female,7707126
1984,Male,7778212
1984,Female,7801179
1985,Male,7882728
1985,Female,7905584
1986,Male,8000187
1986,Female,8018163
1987,Male,8118255
1987,Female,8145619
1988,Male,8248945
1988,Female,8283219
1989,Male,8387589
1989,Female,8426827
1990,Male,8511269
1990,Female,8553859
1991,Male,8615409
1991,Female,8668627
1992,Male,8708256
1992,Female,8770379
1993,Male,8781980
1993,Female,8852828
1994,Male,8863677
1994,Female,8941791
1995,Male,8960430
1995,Female,9044452
1996,Male,9065324
1996,Female,9159443
1997,Male,9156177
1997,Female,9266860
1998,Male,9243143
1998,Female,9364441
1999,Male,9340109
1999,Female,9472155
2000,Male,9443465
2000,Female,9585337
2001,Male,9561826
2001,Female,9712875
2002,Male,9675483
2002,Female,9819727
2003,Male,9787597
2003,Female,9933140
2004,Male,9895951
2004,Female,10036771
2005,Male,10019633
2005,Female,10157211
2006,Male,10159424
2006,Female,10291542
2007,Male,10353636
2007,Female,10473986
2008,Male,10572045
2008,Female,10677154
2009,Male,10800797
2009,Female,10890856
2010,Male,10967831
2010,Female,11063919
2011,Male,11118234
2011,Female,11221790
2012,Male,11312979
2012,Female,11420486
2013,Male,11506165
2013,Female,11621964
2014,Male,11667886
2014,Female,11807800
2015,Male,11827652
2015,Female,11988343
2016,Male,12003039
2016,Female,12187868
2017,Male,12203587
2017,Female,12389001
2018,Male,12390221
2018,Female,12573037
2019,Male,12577221
2019,Female,12757605
2020,Male,12728639
2020,Female,12920609
2021,Male,12749410
2021,Female,12936002
2022,Male,12914220
2022,Female,13104501
2023,Male,13239112
2023,Female,13420810
2024,Male,13503664
2024,Female,13690622
2025,Male,13708285
2025,Female,13905369
