Country,Population,Percentage,x0,y0,x1,y1
India,971020.0,3.5,0.0,0.0,179.70758790869834,500.0
England,970950.0,3.5,179.70758790869834,0.0,359.4022208513263,500.0
China,731540.0,2.6,359.4022208513263,0.0,494.7890191239975,500.0
New Zealand,637680.0,2.3,494.7890191239975,0.0,900.0,145.6229532904923
Philippines,412530.0,1.5,494.7890191239975,145.6229532904923,602.5094784204174,500.0
Vietnam,326630.0,1.2,602.5094784204174,145.6229532904923,900.0,247.22236236177108
South Africa,229950.0,0.8,602.5094784204174,247.22236236177108,686.688332093247,500.0
Nepal,213580.0,0.8,686.688332093247,247.22236236177108,900.0,339.8742378496258
Sri Lanka,184800.0,0.7,686.688332093247,339.8742378496258,793.4828602390206,500.0
Malaysia,184320.0,0.7,793.4828602390206,339.8742378496258,900.0,500.0
