Visa_Stream,Time_In_Australia,Status,Proportion
Skilled migrants,Within 5 years,Australian Citizen,4.1
Skilled migrants,Within 5 years,Non-Citizen,95.9
Skilled migrants,5-10 years,Australian Citizen,52.8
Skilled migrants,5-10 years,Non-Citizen,47.2
Skilled migrants,More than 10 years,Australian Citizen,79.9
Skilled migrants,More than 10 years,Non-Citizen,20.1
Family migrants,Within 5 years,Australian Citizen,4.2
Family migrants,Within 5 years,Non-Citizen,95.8
Family migrants,5-10 years,Australian Citizen,34.0
Family migrants,5-10 years,Non-Citizen,66.0
Family migrants,More than 10 years,Australian Citizen,66.4
Family migrants,More than 10 years,Non-Citizen,33.6
Humanitarian migrants,Within 5 years,Australian Citizen,4.5
Humanitarian migrants,Within 5 years,Non-Citizen,95.5
Humanitarian migrants,5-10 years,Australian Citizen,42.4
Humanitarian migrants,5-10 years,Non-Citizen,57.6
Humanitarian migrants,More than 10 years,Australian Citizen,89.3
Humanitarian migrants,More than 10 years,Non-Citizen,10.7
