Visa_Stream,Time_In_Australia,Proficiency,Proportion
Skilled migrants,Within 5 years,Proficient,94.0
Skilled migrants,Within 5 years,Not Proficient,6.0
Skilled migrants,5-10 years,Proficient,96.8
Skilled migrants,5-10 years,Not Proficient,3.2
Skilled migrants,More than 10 years,Proficient,96.6
Skilled migrants,More than 10 years,Not Proficient,3.4
Family migrants,Within 5 years,Proficient,76.2
Family migrants,Within 5 years,Not Proficient,23.8
Family migrants,5-10 years,Proficient,81.3
Family migrants,5-10 years,Not Proficient,18.7
Family migrants,More than 10 years,Proficient,84.8
Family migrants,More than 10 years,Not Proficient,15.2
Humanitarian migrants,Within 5 years,Proficient,55.8
Humanitarian migrants,Within 5 years,Not Proficient,44.2
Humanitarian migrants,5-10 years,Proficient,66.9
Humanitarian migrants,5-10 years,Not Proficient,33.1
Humanitarian migrants,More than 10 years,Proficient,77.2
Humanitarian migrants,More than 10 years,Not Proficient,22.8
