Period,Arrivals,Departures,Net
"Jun-15","465.25","281.22","184.03"
"Sep-15","469.39","285.16","184.23"
"Dec-15","473.25","286.52","186.73"
"Mar-16","481.33","285.35","195.98"
"Jun-16","489.28","283.04","206.23"
"Sep-16","507.11","277.60","229.51"
"Dec-16","519.65","275.82","243.83"
"Mar-17","536.66","277.08","259.59"
"Jun-17","540.15","276.80","263.35"
"Sep-17","540.06","280.64","259.43"
"Dec-17","531.37","289.71","241.66"
"Mar-18","527.23","289.23","238.00"
"Jun-18","527.52","289.30","238.22"
"Sep-18","530.94","288.62","242.32"
"Dec-18","534.40","282.18","252.22"
"Mar-19","536.60","285.93","250.67"
"Jun-19","550.40","309.06","241.34"
"Sep-19","566.35","324.32","242.04"
"Dec-19","607.87","360.25","247.62"
"Mar-20","618.36","379.11","239.25"
"Jun-20","506.85","314.16","192.70"
"Sep-20","361.95","286.34","75.61"
"Dec-20","235.35","240.32","-4.97"
"Mar-21","113.00","207.34","-94.34"
"Jun-21","146.00","230.93","-84.94"
"Sep-21","161.23","216.61","-55.38"
"Dec-21","214.41","205.10","9.30"
"Mar-22","334.05","203.03","131.02"
"Jun-22","423.91","216.00","207.91"
"Sep-22","569.28","220.65","348.63"
"Dec-22","651.35","213.50","437.86"
"Mar-23","704.98","209.15","495.83"
"Jun-23","738.41","200.07","538.34"
"Sep-23","755.44","199.64","555.80"
"Dec-23","739.03","208.41","530.62"
"Mar-24","709.80","215.98","493.82"
"Jun-24","661.36","232.20","429.16"
"Sep-24","615.33","250.51","364.82"
"Dec-24","593.54","263.61","329.94"
"Mar-25","578.71","267.44","311.27"
"Jun-25","568.37","262.80","305.57"
